,data_filepath,topics,alpha,eta,iterations,passes,decay,coherence
0,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,auto,50,1,0.5,0.10713528849190372
1,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,auto,50,1,0.99,0.07652829016442327
2,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,auto,50,10,0.5,0.26614944911911
3,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,auto,50,10,0.99,0.12021400336384107
4,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,auto,100,1,0.5,0.09782586686007344
5,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,auto,100,1,0.99,0.07736601374662196
6,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,auto,100,10,0.5,0.252036836927113
7,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,auto,100,10,0.99,0.10629905814229215
8,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,0.001,50,1,0.5,0.10830412251935342
9,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,0.001,50,1,0.99,0.07755047918323363
10,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,0.001,50,10,0.5,0.23586800866707014
11,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,0.001,50,10,0.99,0.11670405582942056
12,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,0.001,100,1,0.5,0.0985863365907132
13,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,0.001,100,1,0.99,0.07766407997976954
14,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,0.001,100,10,0.5,0.24564796942005018
15,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,0.001,100,10,0.99,0.10857142979777534
16,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,0.01,50,1,0.5,0.11043373137651306
17,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,symmetric,0.01,50,1,0.99,0.07686162235807081
